Protien,Fat,Carb,Fiber,Sugar
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
1,-1,1,0,1
1,-1,1,0,1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
7,0,21,4,-1
2022-06-16 19:18:43.626113,7,0,21,4,-1
2022-06-16 19:20:43.359405,7,0,21,4,-1
2022-06-16 20:14:12.121980,1,-1,1,0,1
2022-06-16 20:14:46.179611,1,-1,1,0,1
2022-06-16 20:16:38.024217,1,-1,1,0,1
2022-06-16 20:17:27.187024,6,-2,18,4,1
2022-06-16 20:19:46.114826,1,-1,1,0,1
2022-06-16 20:48:16.656155,1,-1,1,0,1
2022-06-16 20:49:05.903526,1,-1,1,0,1
2022-06-16 22:35:10.857483,1,-1,1,0,1
2022-06-16 22:43:44.623992,1,-1,1,0,1
2022-06-16 22:44:40.155993,1,-1,1,0,1
2022-06-16 22:45:51.050638,1,-1,1,0,1
2022-06-16 22:46:25.037086,1,-1,1,0,1
2022-06-16 23:02:33.245961,1,-1,1,0,1
2022-06-16 23:04:38.408497,1,-1,1,0,1
2022-06-16 23:06:06.979711,1,-1,1,0,1
2022-06-16 23:07:05.087277,1,-1,1,0,1
2022-06-16 23:08:11.708286,1,-1,1,0,1
2022-06-16 23:09:08.263468,1,-1,1,0,1
2022-06-16 23:09:45.008225,1,-1,1,0,1
2022-06-16 23:10:26.467469,1,-1,1,0,1
2022-06-16 23:11:20.619375,1,-1,1,0,1
